city;monument;2018;2019;2020;2021;type_of_monulent;region;type_of_area;monument_name
AIGUES-MORTES  ;TOURS ET REMPARTS;177018;191604;110917;145944;TOURS;OCCITANIE;URBAIN;Towers and Ramparts
AMIENS  ;TOURS CATHEDRALE;14743;16612;2527;5015;TOURS;HAUTS-DE-FRANCE;URBAIN;Cathedral Towers
ANGERS  ;CHATEAU;219501;247741;126481;154332;CHATEAU;PAYS-DE-LOIRE;URBAIN;Castle
ARLES  ;ABBAYE DE MONTMAJOUR;51644;53447;20415;39985;ABBAYE;PROVENCE-ALPES-COTES-AZUR;URBAIN;Montmajour Abbey
ASSIER  ;CHATEAU;1059;1553;2219;3237;CHATEAU;OCCITANIE;RURALE;Castle
AZAY-LE-RIDEAU  ;CHATEAU;307290;310322;149069;180461;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
BAYONNE  ;CLOITRE CATHEDRALE;0;0;0;0;CATHEDRALE;NOUVELLE-AQUITAINE;URBAIN;Cathedral Cloister
BEAULIEU S/ MER  ;VILLA KERYLOS;44041;44108;25885;32319;VILLA;PROVENCE-ALPES-COTES-AZUR;PERIURBAIN;Villa Kerylos
BEAULIEU-EN-ROUERGUE  ;ABBAYE;7487;10266;0;188;ABBAYE;OCCITANIE;RURALE;Abbey
BERZE  ;CHAPELLE DES MOINES;9714;10701;2964;5731;CHAPELLE;BOURGOGNE-FRANCHE-COMPTE;RURALE;Monks chapel
BESANCON  ;HORLOGE CATHEDRALE;3012;10244;0;0;CATHEDRALE;BOURGOGNE-FRANCHE-COMPTE;URBAIN;Astronomical Clock
BORDEAUX  ;TOUR CATHEDRALE;77270;80833;11980;22774;TOURS;NOUVELLE-AQUITAINE;URBAIN;Cathedral Tower
BOUGES  ;CHATEAU;18726;11699;5295;3202;CHATEAU;CENTRE-VAL-DE-LOIRE;URBAIN;Castle
BOURG-EN-BRESSE  ;MONASTERE DE BROU;90769;91660;43903;62713;MONASTERE;AUVERGNE-RHONE-ALPES;URBAIN;Royal Monastery of Brou
BOURGES  ;CRYPTE ET TOURS CATHEDRALE;34566;38857;2060;8320;CRYPTE;CENTRE-VAL-DE-LOIRE;URBAIN;Crypt and Tower Of Bourges
BOURGES  ;PALAIS-JACQUES COEUR;45858;51423;27431;32636;PALAIS;CENTRE-VAL-DE-LOIRE;URBAIN;Jacques Coeur Palace
BUSSY-LE GRAND  ;CHATEAU BUSSY-RABUTIN;30455;26351;14722;16799;CHATEAU;BOURGOGNE-FRANCHE-COMPTE;RURALE;Bussy-Rabutin castle
CADILLAC  ;CHATEAU;21950;22778;10913;10968;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Castle
CARCASSONNE  ;CHATEAU ET REMPARTS;597213;621146;266751;316404;CHATEAU;OCCITANIE;URBAIN;Castle and ramparts
CARROUGES  ;CHATEAU;17386;15869;12387;14065;CHATEAU;NORMANDIE;RURALE;Castle
CHAMPS-SUR-MARNE  ;CHATEAU;43506;39473;21602;37639;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
CHAREIL-CINTRAT  ;CHATEAU;1986;1916;791;1363;CHATEAU;AUVERGNE-RHONE-ALPES;RURALE;Castle
CHARROUX  ;ABBAYE;1737;761;2738;4544;ABBAYE;AUVERGNE-RHONE-ALPES;RURALE;Abbey
CHARTRES  ;TOURS ET TRESOR CATHEDRALE;6160;13089;3790;4773;TOURS;CENTRE-VAL-DE-LOIRE;URBAIN;Towers and Cathedral Treseaure
CHATEAUDUN  ;CHATEAU;22871;22801;11390;12529;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
CLUNY  ;ABBAYE;123787;130151;68117;81805;ABBAYE;BOURGOGNE-FRANCHE-COMPTE;RURALE;Abbey
COUCY  ;CHATEAU;15765;15311;10435;10148;CHATEAU;HAUTS-DE-FRANCE;RURALE;Castle
CROIX  ;VILLA CAVROIS;97532;105115;52478;54073;VILLA;HAUTS-DE-FRANCE;URBAIN;Villa Carvois
FERNEY  ;CHATEAU DE VOLTAIRE;28438;30317;12829;21848;CHATEAU;AUVERGNE-RHONE-ALPES;URBAIN;Voltaires Castle
FOUGERES-SUR-BIEVRE  ;CHATEAU;16147;17107;8795;10326;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
FREJUS  ;CLOITRE CATHEDRALE;21730;21224;10895;14634;CLOITRE;PROVENCE-ALPES-COTES-AZUR;URBAIN;Cathedral Cloister
GRAMONT  ;CHATEAU;5314;3572;2814;6341;CHATEAU;OCCITANIE;RURALE;Castle
HAROUE  ;CHATEAU;0;0;0;5893;CHATEAU;GRAND-EST;RURALE;Castle
JOSSIGNY  ;CHATEAU;0;0;0;6051;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
LA ROCHELLE  ;TOURS;143402;117687;66829;69500;TOURS;NOUVELLE-AQUITAINE;URBAIN;Towers
LA SAUVE MAJEURE  ;ABBAYE;17069;17079;12796;13416;ABBAYE;NOUVELLE-AQUITAINE;RURALE;Abbey
LA TURBIE  ;TROPHEE D'AUGUSTE;14956;15036;7327;7115;TROPHEE;PROVENCE-ALPES-COTES-AZUR;URBAIN;Augusts Trophee
LE BEC HELLOUIN  ;ABBAYE;7985;5810;4776;3927;ABBAYE;NORMANDIE;RURALE;Abbey
LE PUY-EN-VELAY  ;CLOITRE CATHEDRALE;31761;31117;12611;18060;CLOITRE;AUVERGNE-RHONE-ALPES;URBAIN;Cathedral Cloister
LOCMARIAQUER  ;SITES MEGALITHIQUES;61341;62167;29174;38939;SITES MEGALITHIQUES;BRETAGNE;RURALE;Megalithic site
LYON  ;TRESOR CATHEDRALE;0;0;21291;26283;TRESOR;AUVERGNE-RHONE-ALPES;URBAIN;Cathedral Treseaure
MAISONS LAFFITTE  ;CHATEAU;25348;23094;14424;15091;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
MARSEILLE  ;CHATEAU D'IF;111907;106084;28871;41752;CHATEAU;PROVENCE-ALPES-COTES-AZUR;URBAIN;If Castle
MONT SAINT-MICHEL  ;ABBAYE;1396531;1479293;496995;608421;ABBAYE;NORMANDIE;URBAIN;Abbey
MONTCARET  ;VILLA GALLO ROMAINE;4287;3801;1495;2883;VILLA;NOUVELLE-AQUITAINE;RURALE;Gallo Roman Villa
MONT-DAUPHIN  ;PLACE FORTE;15215;11633;7492;14316;PLACE;PROVENCE-ALPES-COTES-AZUR;RURALE;Stronghold
MONTMAURIN  ;VILLA GALLO-ROMAINE;6459;6474;4115;3780;VILLA;OCCITANIE;RURALE;Gallo Roman Villa
MONTPELLIER  ;HOTEL DE LUNAS;0;0;0;0;HOTEL;OCCITANIE;URBAIN;Lunas Hotel
NISSAN-LEZ-ENSERUNE  ;SITE ARCHEOLOGIQUE;23273;17279;7434;8046;SITES MEGALITHIQUES;OCCITANIE;RURALE;Archaeological Site
NOGENT-SUR-SEINE  ;CHATEAU MOTTE-TILLY;16795;15121;6631;10460;CHATEAU;GRAND-EST;RURALE;Motte-Tilly Castle
NOHANT  ;MAISON DE GEORGE SAND;31014;33961;17757;20005;MAISON;CENTRE-VAL-DE-LOIRE;RURALE;House of George Sand
OIRON  ;CHATEAU;19457;23599;10924;15081;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Castle
PARIS  ;ARC DE TRIOMPHE;1698139;1606711;428642;510335;ARC;ILE-DE-FRANCE;URBAIN;Arc De Triomphe
PARIS  ;CHAPELLE EXPIATOIRE;20411;21634;8401;9308;CHAPELLE;ILE-DE-FRANCE;URBAIN;Expiatory Chapel
PARIS  ;COLONNE DE JUILLET;0;0;0;1196;COLONNE;ILE-DE-FRANCE;URBAIN;July Column
PARIS  ;CONCIERGERIE;440490;455913;137068;163336;CONCIERGERIE;ILE-DE-FRANCE;URBAIN;Conciergerie
PARIS  ;DOMAINE NATIONAL DU PALAIS-ROYAL;0;33;0;0;DOMAINE;ILE-DE-FRANCE;URBAIN;Domaine National du Palais Royal
PARIS  ;HOTEL DE BETHUNE - SULLY;722;642;129;139;HOTEL;ILE-DE-FRANCE;URBAIN;Bethune-Sully Hotel
PARIS  ;HOTEL DE LA MARINE;0;0;0;210944;HOTEL;ILE-DE-FRANCE;URBAIN;Hotel de la marine
PARIS  ;PANTHEON;859800;875671;223217;368084;PANTHEON;ILE-DE-FRANCE;URBAIN;Pantheon
PARIS  ;SAINTE-CHAPELLE;1270489;1375609;269434;373334;SAINTE;ILE-DE-FRANCE;URBAIN;Sainte-Chapelle
PARIS  ;TOUR EIFFEL;6 207 303;6 140 000;1 560 000;2 058 000;TOUR;ILE-DE-FRANCE;URBAIN;Eiffel Tower
PARIS  ;TOURS DE LA CATHEDRALE;476319;126046;0;0;TOURS;ILE-DE-FRANCE;URBAIN;Towers Of the Cathedral
PIERREFONDS  ;CHATEAU;140204;153364;76936;88847;CHATEAU;HAUTS-DE-FRANCE;RURALE;Castle
PLOUEZOC'H  ;CAIRN DE BARNENEZ;40278;42797;25878;29678;CAIRN;BRETAGNE;RURALE;Barnenez Cairn
POISSY  ;VILLA SAVOYE;38782;38739;17575;15812;VILLA;ILE-DE-FRANCE;URBAIN;Savoye Villa
PRIGNAC  ;GROTTE DE PAIR-NON-PAIR;10295;10218;2960;6332;GROTTE;NOUVELLE-AQUITAINE;RURALE;Pair-Non-Pair Cave
PRUDHOMAT  ;CHATEAU CASTELNAU-BRETENOUX;41053;43948;29654;36631;CHATEAU;OCCITANIE;RURALE;Castle of the Barons of Castelnau
RAMBOUILLET  ;DOMAINE NATIONAL;43997;46753;21934;28643;DOMAINE;ILE-DE-FRANCE;URBAIN;National Domain
REIMS  ;PALAIS DU TAU;90250;97277;40878;53210;PALAIS;GRAND-EST;URBAIN;Tau Palace
REIMS  ;TOURS DE LA CATHEDRALE;12702;10673;442;8031;TOURS;GRAND-EST;URBAIN;Towers Of the Cathedral
ROQUEBRUNE  ;CAP MODERNE;7535;8462;889;7130;CAP;PROVENCE-ALPES-COTES-AZUR;URBAIN;Cap Moderne
SAINT-CERE  ;CHATEAU DE MONTAL;16140;18792;10853;12943;CHATEAU;OCCITANIE;RURALE;Montal Castle
SAINT-CLOUD  ;DOMAINE NATIONAL;148761;144338;83765;158632;DOMAINE;ILE-DE-FRANCE;URBAIN;National Domain
SAINT-DENIS  ;BASILIQUE;137290;139139;44033;52567;BASILIQUE;ILE-DE-FRANCE;URBAIN;Basilica
SAINT-REMY-DE-PROVENCE  ;HOTEL DE SADE;4474;5087;0;3556;HOTEL;PROVENCE-ALPES-COTES-AZUR;URBAIN;Sade Hotel
SAINT-REMY-DE-PROVENCE  ;SITE DE GLANUM;63176;69197;34779;46494;SITES MEGALITHIQUES;PROVENCE-ALPES-COTES-AZUR;URBAIN;Glanum Site
SAINT-VINCENT  ;MAISON DE G CLEMENCEAU;22231;24017;13802;16480;MAISON;AUVERGNE-RHONE-ALPES;RURALE;House Of Georges Clemenceau
SALSES  ;FORTERESSE;81463;83618;44640;58202;FORTERESSE;OCCITANIE;RURALE;Fortress
SANXAY  ;SANCTUAIRE GALLO-ROMAIN;7107;4285;3103;3559;SANCTUAIRE;NOUVELLE-AQUITAINE;RURALE;Gallo-Roman Sanctuary
SAORGE  ;MONASTERE;7162;7428;4954;3488;MONASTERE;PROVENCE-ALPES-COTES-AZUR;RURALE;Monastery
SERMENTIZON  ;CHATEAU D'AULTERIBE;12748;10276;4091;6264;CHATEAU;AUVERGNE-RHONE-ALPES;RURALE;Aulteribe Castle
SEVRES  ;MAISON DES JARDIES;1118;1102;167;371;MAISON;ILE-DE-FRANCE;URBAIN;Maison des Jardies
TALCY  ;CHATEAU;13269;28570;8283;8489;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
THORONET  ;ABBAYE;86034;96226;53957;54064;ABBAYE;PROVENCE-ALPES-COTES-AZUR;RURALE;Abbey
TOURS  ;CLOITRE PSALETTE CATHEDRALE;18642;21181;7100;9911;CLOITRE;CENTRE-VAL-DE-LOIRE;URBAIN;Cloister of the Psalette Cathedral
TREGUIER  ;MAISON RENAN;2779;3132;2104;2389;MAISON;BRETAGNE;RURALE;Renan House
VALLEE DE LA VEZERE  ;SITES;36812;35252;6207;18143;SITES MEGALITHIQUES;NOUVELLE-AQUITAINE;RURALE;Sites
VILLARS  ;CHATEAU DE PUYGUILHEM;11694;12939;8950;10273;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Puyguilhem Castle
VILLENEUVE-LEMBRON  ;CHATEAU;8722;8018;3476;5677;CHATEAU;AUVERGNE-RHONE-ALPES;URBAIN;Castle
VILLENEUVE-LEZ-AVIGNON  ;FORT ST-ANDRE;33509;31649;20535;23720;FORT;PROVENCE-ALPES-COTES-AZUR;URBAIN;St-Andre Fort
VINCENNES  ;CHATEAU;139658;132486;47631;58324;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
WIMILLE  ;COLONNE DE LA GRANDE ARMEE;4787;4686;1648;5038;COLONNE;HAUTS-DE-FRANCE;RURALE;Column of the Grande Armée