city;monument;2018;2019;2020;2021
AIGUES-MORTES  ;TOURS ET REMPARTS;177018;191604;110917;145944
AMIENS  ;TOURS CATHEDRALE;14743;16612;2527;5015
ANGERS  ;CHATEAU;219501;247741;126481;154332
ARLES  ;ABBAYE DE MONTMAJOUR;51644;53447;20415;39985
ASSIER  ;CHATEAU;1059;1553;2219;3237
AZAY-LE-RIDEAU  ;CHATEAU;307290;310322;149069;180461
BAYONNE  ;CLOITRE CATHEDRALE;0;0;0;0
BEAULIEU S/ MER  ;VILLA KERYLOS;44041;44108;25885;32319
BEAULIEU-EN-ROUERGUE  ;ABBAYE;7487;10266;0;188
BERZE  ;CHAPELLE DES MOINES;9714;10701;2964;5731
BESANCON  ;HORLOGE CATHEDRALE;3012;10244;0;0
BORDEAUX  ;TOUR CATHEDRALE;77270;80833;11980;22774
BOUGES  ;CHATEAU;18726;11699;5295;3202
BOURG-EN-BRESSE  ;MONASTERE DE BROU;90769;91660;43903;62713
BOURGES  ;CRYPTE ET TOURS CATHEDRALE;34566;38857;2060;8320
BOURGES  ;PALAIS-JACQUES COEUR;45858;51423;27431;32636
BUSSY-LE GRAND  ;CHATEAU BUSSY-RABUTIN;30455;26351;14722;16799
CADILLAC  ;CHATEAU;21950;22778;10913;10968
CARCASSONNE  ;CHATEAU ET REMPARTS;597213;621146;266751;316404
CARROUGES  ;CHATEAU;17386;15869;12387;14065
CHAMPS-SUR-MARNE  ;CHATEAU;43506;39473;21602;37639
CHAREIL-CINTRAT  ;CHATEAU;1986;1916;791;1363
CHARROUX  ;ABBAYE;1737;761;2738;4544
CHARTRES  ;TOURS ET TRESOR CATHEDRALE;6160;13089;3790;4773
CHATEAUDUN  ;CHATEAU;22871;22801;11390;12529
CLUNY  ;ABBAYE;123787;130151;68117;81805
COUCY  ;CHATEAU;15765;15311;10435;10148
CROIX  ;VILLA CAVROIS;97532;105115;52478;54073
FERNEY  ;CHATEAU DE VOLTAIRE;28438;30317;12829;21848
FOUGERES-SUR-BIEVRE  ;CHATEAU;16147;17107;8795;10326
FREJUS  ;CLOITRE CATHEDRALE;21730;21224;10895;14634
GRAMONT  ;CHATEAU;5314;3572;2814;6341
HAROUE  ;CHATEAU;0;0;0;5893
JOSSIGNY  ;CHATEAU;0;0;0;6051
LA ROCHELLE  ;TOURS;143402;117687;66829;69500
LA SAUVE MAJEURE  ;ABBAYE;17069;17079;12796;13416
LA TURBIE  ;TROPHEE D'AUGUSTE;14956;15036;7327;7115
LE BEC HELLOUIN  ;ABBAYE;7985;5810;4776;3927
LE PUY-EN-VELAY  ;CLOITRE CATHEDRALE;31761;31117;12611;18060
LOCMARIAQUER  ;SITES MEGALITHIQUES;61341;62167;29174;38939
LYON  ;TRESOR CATHEDRALE;0;0;21291;26283
MAISONS LAFFITTE  ;CHATEAU;25348;23094;14424;15091
MARSEILLE  ;CHATEAU D'IF;111907;106084;28871;41752
MONT SAINT-MICHEL  ;ABBAYE;1396531;1479293;496995;608421
MONTCARET  ;VILLA GALLO ROMAINE;4287;3801;1495;2883
MONT-DAUPHIN  ;PLACE FORTE;15215;11633;7492;14316
MONTMAURIN  ;VILLA GALLO-ROMAINE;6459;6474;4115;3780
MONTPELLIER  ;HOTEL DE LUNAS;0;0;0;0
NISSAN-LEZ-ENSERUNE  ;SITE ARCHEOLOGIQUE;23273;17279;7434;8046
NOGENT-SUR-SEINE  ;CHATEAU MOTTE-TILLY;16795;15121;6631;10460
NOHANT  ;MAISON DE GEORGE SAND;31014;33961;17757;20005
OIRON  ;CHATEAU;19457;23599;10924;15081
PARIS  ;ARC DE TRIOMPHE;1698139;1606711;428642;510335
PARIS  ;CHAPELLE EXPIATOIRE;20411;21634;8401;9308
PARIS  ;COLONNE DE JUILLET;0;0;0;1196
PARIS  ;CONCIERGERIE;440490;455913;137068;163336
PARIS  ;DOMAINE NATIONAL DU PALAIS-ROYAL;0;33;0;0
PARIS  ;HOTEL DE BETHUNE - SULLY;722;642;129;139
PARIS  ;HOTEL DE LA MARINE;0;0;0;210944
PARIS  ;PANTHEON;859800;875671;223217;368084
PARIS  ;SAINTE-CHAPELLE;1270489;1375609;269434;373334
PARIS  ;TOUR EIFFEL;6 207 303;6 140 000;1 560 000;2 058 000
PARIS  ;TOURS DE LA CATHEDRALE;476319;126046;0;0
PIERREFONDS  ;CHATEAU;140204;153364;76936;88847
PLOUEZOC'H  ;CAIRN DE BARNENEZ;40278;42797;25878;29678
POISSY  ;VILLA SAVOYE;38782;38739;17575;15812
PRIGNAC  ;GROTTE DE PAIR-NON-PAIR;10295;10218;2960;6332
PRUDHOMAT  ;CHATEAU CASTELNAU-BRETENOUX;41053;43948;29654;36631
RAMBOUILLET  ;DOMAINE NATIONAL;43997;46753;21934;28643
REIMS  ;PALAIS DU TAU;90250;97277;40878;53210
REIMS  ;TOURS DE LA CATHEDRALE;12702;10673;442;8031
ROQUEBRUNE  ;CAP MODERNE;7535;8462;889;7130
SAINT-CERE  ;CHATEAU DE MONTAL;16140;18792;10853;12943
SAINT-CLOUD  ;DOMAINE NATIONAL;148761;144338;83765;158632
SAINT-DENIS  ;BASILIQUE;137290;139139;44033;52567
SAINT-REMY-DE-PROVENCE  ;HOTEL DE SADE;4474;5087;0;3556
SAINT-REMY-DE-PROVENCE  ;SITE DE GLANUM;63176;69197;34779;46494
SAINT-VINCENT  ;MAISON DE G CLEMENCEAU;22231;24017;13802;16480
SALSES  ;FORTERESSE;81463;83618;44640;58202
SANXAY  ;SANCTUAIRE GALLO-ROMAIN;7107;4285;3103;3559
SAORGE  ;MONASTERE;7162;7428;4954;3488
SERMENTIZON  ;CHATEAU D'AULTERIBE;12748;10276;4091;6264
SEVRES  ;MAISON DES JARDIES;1118;1102;167;371
TALCY  ;CHATEAU;13269;28570;8283;8489
THORONET  ;ABBAYE;86034;96226;53957;54064
TOURS  ;CLOITRE PSALETTE CATHEDRALE;18642;21181;7100;9911
TREGUIER  ;MAISON RENAN;2779;3132;2104;2389
VALLEE DE LA VEZERE  ;SITES;36812;35252;6207;18143
VILLARS  ;CHATEAU DE PUYGUILHEM;11694;12939;8950;10273
VILLENEUVE-LEMBRON  ;CHATEAU;8722;8018;3476;5677
VILLENEUVE-LEZ-AVIGNON  ;FORT ST-ANDRE;33509;31649;20535;23720
VINCENNES  ;CHATEAU;139658;132486;47631;58324
WIMILLE  ;COLONNE DE LA GRANDE ARMEE;4787;4686;1648;5038